Year,"Total Population.12-17","Total Population.18-25","Total Population.26+","Totals.Marijuana.New Users.12-17","Totals.Marijuana.New Users.18-25","Totals.Marijuana.New Users.26+","Total New Marijuana Users"
2002,24874472,31376283,180161875,1401000,1059000,135000,2595000
2003,25104877,31961114,182032423,1347000,1058000,138000,2543000
2004,25284634,32339937,184242980,1274000,1005000,195000,2474000
2005,25373405,32612901,186634665,1239000,993000,186000,2418000
2006,25316512,32735362,188881558,1244000,1056000,121000,2421000
2007,25066708,32834520,190928922,1217000,1131000,138000,2486000
2008,24750658,33259088,192805571,1255000,1226000,134000,2615000
2009,24477760,33826169,194413394,1278000,1277000,171000,2726000
2010,25064997,34155875,197244511,1338000,1307000,199000,2844000
2011,24953349,34445839,199428946,1307000,1358000,215000,2880000
2012,24912836,34687730,201623829,1270000,1346000,240000,2856000
2013,24883687,34860065,204013409,1234000,1384000,265000,2883000
2014,24884088,34920895,206603701,1193000,1411000,352000,2956000
2015,24894976,34738947,208928399,1170000,1393000,444000,3007000
2016,24919663,34438517,211408555,1168000,1423000,511000,3102000
2017,24919203,34171327,213837659,1230000,1485000,600000,3315000
2018,24900326,33884423,215702400,1268000,1502000,754000,3524000
